sense_1,sense_2,mark
хромолитография многокрасочная литография,хромолитография многокрасочная литография,0
причинение нанесение увечья истязание,увечье,0
в синтаксисе,перед прилагательным часто с последующим указывает на усиление признака,0
смешной,вызывающий смех,0
путать запутывать,мешать препятствовать,0
печать,след отпечаток печать знак признак,0
оставаться без применения оставаться безработы стать безработным,портиться приходить в неисправность выходить из строя о машине сбиться с курса о корабле,0
снова обсуждать возвращаться к предмету разговора спора,брать обратно,0
житель обитатель,жилец,0
высший верховный,высший наивысший,0
управлять лошадьми править колесницей,ездить верхом,0
управлять лошадьми править колесницей,объезжать лошадь,0
низкого происхождения из непривилегированного сословия,простолюдин,0
колебать,колебаться,0
бокс,корпус,0
Черпак ковш для вина,Шланг для переливания вина,0
пробный оттиск,образец подписи,0
находящийся слева с левой стороны,левый левые лозунги,0
канава ров,выемка котлован,0
подрывать подкапывать,ар подрывать,0
сюрприз,неожиданность,0
надежда вера,надёжный верный внушающий доверие,0
отверстие,прорезь,0
заглушка,крышка,0
чертить набрасывать эскиз,намечать намереваться собираться планировать,0
аккуратность порядочность,опрятность подобранность,0
конец,край конец,0
поступать безрассудно,быть распущенным разнузданным допускать вольности в чем злоупотреблять чем злоупотреблять силой,0
превращаться в газ,пениться пузыриться о жидкостях,0
мелькать мелькнуть сверкать сверкнуть вспыхивать вспыхнуть,блеснуть озарить,0
собирать созывать,собирать скапливать,0
от офицер запаса,от бюро по трудоустройству б т,0
развёртывание разворачивание развитие,развёртывание войск,0
антифашист,антифашистский,0
вставлять помещать заносить,входить вступать,0
набирать черпать,набирать,0
ночной,ночью по ночам,0
ночной,ночной происходящий ночью,0
консервирование,консервация,0
энергетик,энергетический,0
обход,объезд,0
подделывать,подделывать документы,0
возмещать,вознаграждать,0
сгиб,загибать,0
проявление обнаружение выявление,обнаружение выявление раскрытие вскрытие обнажение обличение изобличение,0
местный,относящийся к отдельной части какого л целого местное обезболивание местное осложнение,0
солить,засол,0
солить,солить консервировать,0
весь флот военный вся эскадра,весь корабль,0
согнуть,согнуться,0
тратиться,производить расходы,0
умение,знание дела квалификация,0
соломка,соломка,0
изношенный пришедший в ветхость в негодность от длительной носки изношенная одежда,относящийся к тряпке тряпичный лоскут,0
дефицит,дефицитный,0
ежемесячник ежемесячное издание,месяц,0
смена лет ряд лет,хронологический порядок,0
чистить делать чистым вычищать отчищать расчищать,удалять устранять убирать мусор исключать изымать элиминировать,0
жестокий немилосердный безжалостный беспощадный о человеке,мучительный тягостный изнурительный причиняющий страдание мучение,0
передающее устройство передающая аппаратура,пусковое оборудование,0
свидание,встречаться,0
регистрировать вносить в список заносить в протокол вести запись записывать,записывать,0
переписывать списывать копировать,записывать,0
миндаль,миндальный орех,0
звучать,прозвучать раздаваться быть слышимым о голосах музыке звучит Государственный гимн Азербайджанской Республики в соседней квартире звучит музыка,0
дразнить,поддразнивать,0
Открытие научное,изобретать,0
относящийся к Рио де Жанейро,кариока житель жительница или уроженец уроженка Рио де Жанейро,0
жизнеспособный жизнестойкий живучий,животворный,0
гомогенный,однородный,0
сила энергия,изо всех сил полным ходом на полную мощность,0
отбросить," сбрасывать, скидывать (вниз)",0
запасной якорь,якорь спасения,0
собирание,складывание,0
искривление гнутьё,наклон сгиб,0
снаряжение,обмундирование,0
возмещение потерь,возмещение убытков,0
организованность,наличие какой л организации,0
передача патента,уступка патента,0
миловидный приветливый,приятный,0
трансформация,преобразовываться,0
ВЫДЕРЖИВАТЬ выдержать продержать что известное время,Выдержка также самое дело по качеству его хорошая дурная выдержка скаковых лошадей собак ловчих птиц содержание уход и выучка,0
удовлетворять доставлять удовольствие радовать,попустительствовать потакать потворствовать,0
утаивать,замалчивать,0
прыгать спрыгивать соскакивать,отскакивать,0
ударить,стукнуть,0
стискивать сдавливать сжимать,нажимать надавливать,0
завернуть,завертывать,0
ужасный страшный жуткий,отвратительный,0
руль,румпель штурвал,0
вторжение набег налёт,внезапное наступление налёт,0
Колдовать,Очаровывать очаровать,0
жилица жилянка кто жив кто живет или кому еще суждено жить,Дом изба землянка комнаты покой квартира,0
индикатор,индикатор часового типа,0
производить предварительный отбор отбирать выбирать,предпочитать кого что л отдавать предпочтение кому чему л,0
Дать отзыв характеристику о ком По секрету скажу оч чень положительно аттестует тебя начальство,Присвоить звание был награжден орденом Красной Звезды аттестован старшим сержантом и получил назначение на должность командира взвода,0
расти вырастать вырасти порасти нарастать нарасти пускать пустить ростки,увеличиваться увеличиться расти возрастать возрасти прибывать прибыть идти пойти на прибыль,0
сгибание флексия,флексия,0
сгибание,флексия,0
поесть покушать потребить отъесть откушать,поесть изъесть,0
спать на открытом воздухе,спать ночевать не дома,0
кормилица Семелы,троянка супруга Дорикла Эпирского,0
гудение гул,шум,0
шипение,шум,0
слезотечение,слёзы плач,0
делаться совершаться твориться быть результатом какого либо действия занятия,выполняться выполниться совершаться совершиться осуществляться осуществиться делаться сделаться претворяться претвориться кем либо,0
затыкать забивать чем,закрывать загораживать,0
рассказывание повествование,переговоры,0
шершавый шероховатый негладкий неровный шершавая кожа шероховатые камни неровная поверхность шероховатый лист,корявый,0
разгрызать,перегрызать,0
Лен феод,Феодал,0
двустороннее сотрудничество,обе стороны сотрудничают,0
ревизия,инспекторский,0
отталкиваться оттолкнуться упёршись во что либо толчком отодвигаться отделяться от чего либо,отталкиваться оттолкнуться брать за исходную отправную точку,0
морозить,замораживать морозить,0
терзать,томиться,0
завероподобный дикий,дикарь дикарка,0
опись инвентаризация учёт товара,подробное описание перечень,0
интересы,польза выгода,0
образец образчик проба,пример образец являться примером следовать чьему л примеру брать с кого л пример,0
поднимать флаг,сигнализировать флажками,0
проявление внимания,осведомление,0
греметь,издавать громкие звуки загреметь гремели пушки,0
танцевать плясать,танец пляска,0
предмет,предмет вещь объект,0
письменная работа экзаменующегося,рукописный текст манускрипт,0
темп нарастания,темп роста,0
кулачковый вал,распределительный вал,0
 Живя работая часто бывая свыкнуться сдружиться, Постоянно находясь где-л,0
поперечная улка короткая улица для связи улиц продольных,шатающийся по переулкам,0
в результате,в силу,0
родство,подобие похожесть сходство схожесть,0
ржаной стебель,ржаное зерно,0
поднимать выставлять со своей стороны или в ответ,выдаваться наружу высовываться торчать сбоку,0
звучащий,звонкий,0
мотылевая шейка,шейка мотыля,0
обратное требование,регрессное требование,0
группировать,относить,0
снова бросать снова кидать бросать обратно выбрасывать,относить,0
бант лента,лента,0
разрежённый,разжижённый,0
грубость резкость,суровость жестокость,0
отойти отходить,уединяться,0
отойти отходить,уединяться,0
тележный,гужевой,0
лживость вранье, привычка лгать,0
был направлен  [כּוּוַן],настраивать [כִּיווֵן],0
небесный путь широкая просторная дорога,созвездие Перекрёсток,0
ездить в на санях,скользить быстро и плавно двигаться,0
судебный приказ о приводе в суд,судебный приказ о наложении ареста на имущество,0
трудящийся,работоспособность,0
рабочая сила,работоспособность,0
трудиться,работоспособность,0
окружать,объезжать,0
разрушить разломать,испортиться повредиться,0
упряжка запряжка упряжь,сцепка сцепление соединение связь,0
этюд,этюдный произведение этюдного характера,0
неустойчивое положение,режим висения,0
говорить сообщать,общаться списываться сноситься,0
прокладка,прослойка,0
вовлекаться,впутываться,0
докладывать сообщать извещать,обращаться к по направлению к,0
вывозящий,экспортирующий,0
передача права на товарный знак,передача права пользования товарным знаком,0
навешивать навешать,диал накладывать наложить,0
невежливо невоспитанно,невежливый неучтивый бестактный,0
вспоминать,запоминать,0
относящийся к ремеслу,профессиональный,0
туалет,туалет,0
сначала на первый взгляд,первого взгляда сразу,0
начинать чесать,начинать чесать шерсть,0
отнять отнимать отобрать,похищать,0
сдирать содрать ссаживать ссадить,сметать смести обдирать ободрать,0
упражнять тренировать муштровать,обучать чему л приучать к чему л,0
отделение отсек секция клетка,купе,0
спокойный тихий мирный безмятежный,спокойный тихий нешумный безлюдный,0
ветчина,свиной окорок,0
наниматься,наниматься,0
любовь к женщинам,поклонник женщин бабник,0
выточка,горловина,0
выточка,шлифование,0
отобрать отнять что у кого,со ар получить принять,0
"был пленён, увлечён  [נָפַל]",стал заложником [נָפַל],0
торговец полотном,ремесленник ткущий полотно,0
краткое изложение,краткое сообщение,0
благополучный благоденствующий процветающий,благоустроенный,0
долбить,строгать,0
европейский язык,слово на европейском языке,0
мысль размышление рассуждение идея продукт деятельности разума,мысль идея замысел желание намерение мечта поставленная себе представляемая себе задача,0
нарасти вырасти,подняться,0
собирать собрать,набрать накопить скопить копить накапливать,0
разозлиться,прийти в ярость,0
разозлиться,вспыльчивость,0
справиться с чем,преодолеть,0
восемьсот цифра,забег на м,0
балансир,маятник,0
вскрытие письма,вскрытое письмо,0
Рассвет заря,Начало заря,0
стандартный проект,типовой проект,0
тяжелеть,перевес,0
поддержка словом,воскл выражает подбадривание ну скорей вперед,0
употребляющий вегетарианскую пищу,вегетарианец,0
авария катастрофа крушение,авария катастрофа,0
наполнять заполнять,разгружать,0
Обеспечить водой путем устройства каналов водохранилищ прудов колодцев и Обводнить степь,Увеличить запас воды в водоеме,0
спасительность,работа профессия спасателя,0
ОБВИНЯТЬ обвинить кого в чем винить взводить на него вину считать причинным виновным,приносить жалобу подвергать ответу,0
враждебный акт,недружелюбный поступок,0
С помощью приборов или невооружённым глазом внимательно наблюдать за природными явлениями и затем предсказывать чтолибо или делать какиелибо выводы из этого,На основе результатов наблюдений над чемлибо делать выводы о предстоящих событиях или возможных последствиях этого,0
преследование гонение,юр преследование по суду,0
деление раздробление дробление измельчение,расщепление,0
урод,уродливый не похожий на человека,0
блаженство,блаженное состояние,0
НАСТАВЛЯТЬ наставить чего куда или на что ставить становить во множестве настанавливать или настановлять настановить,Наставленье поученье руководство инструкция наказ,0
уклоняться,отклоняться,0
рассыпание,бурление,0
одеяло,покрывало,0
прокурор лицо осуществляющее государственный надзор за точным исполнением законов,прокурор государственный обвинитель в судебном процессе,0
военная администрация,военный и политический армия и правительство,0
рассыпчатый,рыхлый рыхлые породы рыхлый песок структур рыхлая кристаллическая структура песчаник,0
видеть,видеться с кем л,0
с постепенным переходом с оттенками,градуированный этапный,0
способ плетения шнура из ниток,наматывать,0
напоминание памятка,переподготовка,0
входить войти,забираться забраться влезать влезть укрываться укрыться где либо забраться под одеяло забраться в постель,0
Свойство по несправедливый,Несправедливый поступок несправедливое отношение к кому И все обиды все несправедливости унижения рабства одним словом жизнь ее встала перед ней,0
неистощимый,нескончаемый,0
обида оскорбление,презрение пренебрежение,0
порастать порасти обрастать обрасти пообрастать зарастать зарасти,порасти,0
реализовать осуществлять выполнять,выручать получать,0
рецензия,критика,0
ставший народным,национализированный,0
гидроабразивная установка,гидроабразивное устройство,0
Сосуд или коробка из жести,Кусок жести,0
банкирская контора,банковая сделка,0
дух,душа,0
дух,место обитания духов,0
схема передвижения напр на территории предприятия,динамическая линия,0
изменение замена,смена перемена обновление,0
тереться соприкасаться с чем л,производить при трении скрипящие и шуршащие звуки,0
побелка действие,штукатурка действие,0
отличающийся от кого чего л своеобразный выделяющийся,заметный необыкновенный незаурядный,0
сваливать,опрокидывать,0
осветлять,высветлять,0
заросли,чаща,0
Ц вспылить вскипеть вспыхнуть как спичка,быть готовым расплакаться слёзы закипают у кого либо,0
мягкий нежный,хрупкий ломкий податливый,0
щеколда,защёлка,0
убедительный,неопровержимый,0
изначальный,первоначальный,0
обваливаться,разрушаться,0
дружба,связь отношение,0
уходить уезжать отправляться отбывать,пойти,0
вешаться повеситься,обвисать обвиснуть отвиснуть,0
могила,место погребения мязары могила неизвестного солдата братская могила,0
Промежуток времени срок в триста лет,Годовщина происшедшего или начатого триста лет тому назад,0
гордый горделивый,высокомерный,0
схватиться взяться за чтолибо,потянуться за чемлибо,0
доброволец,человек вступающий в армию во время войны добровольно на фронт пришли много добровольцев записаться в список добровольцев отряд добровольцев,0
служба по найму в армии,служба,0
рациональный,рационализировать,0
способствовать повышению урожайности плодородия,способствовать повышению продуктивности плодородности производительности способствовать повышению производительности труда,0
общество,община,0
стеречь сторожить охранять,беречь сохранять хранить,0
судить когочто,судить,0
завязка,тесьма,0
ростки побеги поросль почки серёжки растения,дикое просо,0
наследник,преемник продолжатель,0
кемпинг,туристская стоянка,0
содержащий в себе миф мифический сюжет мифический образ,вымышленный выдуманный,0
ингуш ингушка,ингушский,0
сторожить охранять вход,стоять на воротах,0
обсыпать посыпать,осыпать засыпать,0
менять заменить сменять сменить замещать заместить возмещать возместить,соверш променять сменять,0
беспокойство волнение,хлопоты беспокойство,0
спать,быть вялым сонным медлительным пассивным,0
талия спина,подвески прибора у пояса для ножа трубки и хэт бэл подвески на поясе для огнива и футляра с ножом,0
Раздражать раздражить раздражать аппетит,Дразнить,0
уставный,устав,0
абхаз абхазка,абхазский язык,0
оскорбляться,шокировать,0
отбить стада,отбиться отстать стада,0
предчувствие,подозрение,0
СМЫВАТЬ смыть что с чего обмывать или счищать мытьем вымыть очистить промыв насквозь смыть сверху снаружи,Смывать смыть что свалять мытьем о шерстяном изделии мять в горячей воде на мыле чтоб вещь свалялась сселась сполстилась,0
административный управленческий,бюрократический администраторский,0
место сбора,собрание толпа,0
руководство,предводительствовать,0
выделка,выработка,0
должность хранителя,канцелярия хранителя,0
президент глава лидер,премьер,0
закрепление,закрепление прав,0
закрепление,закреплять,0
треск трескотня,скрип,0
автокран,автомобильный кран,0
Пропитать табачным дымом,Израсходовать на курение,0
воровство грабёж,вор грабитель,0
соя культурная,соевые бобы,0
запачкать перепачкать грязнить загрязнить испятнать испаскудить испоганивать испоганить залапать перепакостить,грязнить загрязнить,0
опираться опора полагаться,с упором упор,0
взгляд взор,кругозор поле зрения,0
или перерезать перерезать что отрезать разрезать напрочь на части перепилить,кого зарезать во множестве,0
выгонять,гнать вперед или напролом,0
длинный выступ у печки для лежания,небольшая печка,0
изгонять высылать исключать,удалять,0
надстройка верхний этаж,надстройка расширение повышение,0
подхватить,подхватить уловить,0
абзац красная строка,параграф,0
потащить поволочить,потащить увлечь за собой,0
управление правление,управление правление учреждение,0
совет наставление,завет завещание,0
борьба, бой,0
возвращать отдавать обратно,возвращаться,0
рожать от кого производить потомство приносить приплод в чем мать родила,дитя ребенок дети потомки внебрачный ребенок,0
разлаживаться портиться не удаваться,разлагаться морально портиться,0
Называть назвать именовать наименовать нарекать наречь устар,Упоминать упомянуть,0
кончать что кемчем,оканчивать,0
место где находиться ледяная вода,ледяной очень холодный,0
инстинктивный,обусловленный инстинктом инстинктивное движение,0
аренда временное пользование недвижимым имуществом на договорных началах сдавать в аренду брать в аренду,арендный арендная цена арендный договор,0
канат трос кабель,лепное украшение в виде каната,0
в древнегреческой мифологии напиток олимпийских богов дававший им бессмертие и вечную юность,напиток превосходного вкуса и аромата,0
не имеющий близкого человека друга,не имея друга без друга жить без друга,0
петля,извилистый,0
портить испортить,становиться стать дурным скверным в последнее время ты испортился,0
показывать снизу внизу или мельком,вынимать снизу,0
расписывать,списывать,0
наводить на мысль,подать идею,0
хозяйничать вести хозяйство хозяйствовать заниматься хозяйством,хозяйничать,0
шкала,диапазон,0
перетянуть перетащить,перетянуть натянуть,0
развратный порочный разнузданный безнравственный еретический развратно разнузданно,разврат порок соблазн зло смута излишество распущенность разгул,0
глупый,глупец дурак идиот,0
глупый,бесмыссленный дурацкий лишенный разумных оснований глупый разговор глупый поступок,0
угол,угловой дом,0
образ жизни,поведение,0
мягкий,шелковистый,0
мягкий,слабый мягкий,0
выплавка,плавка,0
приобретать неожиданно,получать неожиданную прибыль,0
грязный, нечистый,0
грязный,запачканный нечистый грязная посуда грязное бельё,0
новизна красота нежность свежесть цветов свежесть весны,сделать свежим чистым красивым дождь освежает деревья,0
опись партии товара,выписка решения суда,0
несогласие,обсуждение противоречие,0
работник труженик трудящийся,слуга,0
сохнуть засыхать высыхать,чахнуть сохнуть,0
сарай,сторожка,0
наемник,наемный,0
работа,стоимость работы,0
выведенный из равновесия,неуравновешенный,0
ведьма,мегера,0
удалой удалый лихой,крепкий здоровый дюжий,0
толкнуть пихнуть,спорт толкнуть,0
создавать создать,создать творческим путём создать произведения искусства создать образ,0
представать перед кем чем л,становиться,0
противоречить друг другу,не узнавать,0
бить ключом брызгать хлынуть,обрызгивать,0
изменчивый,переменчивый,0
кварцевая лампа,кварц облучение кварцевой лампой,0
оборвать обобрать обдёргать,прервать оборвать,0
передать выразить в стихотворной форме,перевести в схихах,0
тюлень морское ластоногое млекопитающее каспийский тюлень ушастый тюлень полосатый тюлень,тюлений,0
перемещение передвижение смещение,переброска,0
поставить подо,посадить подо,0
тепловая энергия,сила огня напр на пожаре,0
младший двоюродный брат,племянник,0
покидать оставлять,уходить исчезать он не переставал писать он все еще пишет,0
разработка выработка,отделка выделка,0
ВЫВЕРТЫВАТЬ вывертеть вывернуть что брать или класть как нибудь впереверт навыворот или извертев вещь,выдергивать вертом вынимать отнимать из рук крутя вертя,0
кончать кончить оканчивать окончить заканчивать закончить покончить с чём л,финишировать,0
хватать,бросать кидать швырять,0
осмотр,ревизионное обследование,0
делегация депутация,передача делегирование функций,0
маточное молочко,пчелиное молоко,0
нанять,сдать внаём сдать внаймы сдать,0
Образующий собой промежуток пространство между Промежуточное расстояние,Находящийся между двумя или несколькими предметами или явлениями не начальный и не конечный в ряду Промежуточная стадия,0
жалоба,ссора склока свара,0
жалоба,прошение,0
тифозная лихорадка тифозное состояние,тиф птиц,0
заказ,команда приказ,0
предварительный закрытый просмотр,устраивать предварительный показ просмотр,0
квалифицированный рабочий технический персонал ремесленник,техника искусство мастерство навык искусный ловкий изобретательный,0
страх,ужас,0
пихаться,толкаться,0
населённый пункт,поселение деревня село,0
похлопывание похлопанный,трамбовка трамбованный,0
святость безгрешность,неприкосновенность святость,0
лучник,стрелок из лука,0
встать дыбом от ужаса,содрогнуться от ужаса,0
стоить быть в такой то цене,цена стоимость,0
быть законченным завершенным,последний окончательный,0
праздность,досужий,0
силой опереться на навалиться,силой надавить нажать на,0
ставень створка откидная дверца,шторка шибер,0
впуск,всасывание,0
усиливать,усиливаться,0
майский,май,0
РЕШАТЬ решить что кончать вершить установлять определять властью разбирать дело и присуждать приговаривать распутать что и сделать заключенье рассудить спор сомненье быть судьей в чем и повершить дело,Решиться чего лишиться,0
человеческий людской,гуманный человеческий,0
покрываться покрыться белым налетом,покрываться покрыться коркой,0
рассчитываться рассчитаться сосчитываться сосчитаться разделываться разделаться расквитаться,рассчитываться расчисляться,0
любящий спорить сварливый,спорные вопросы споры,0
оглядываться озираться,внимательно рассматривать,0
ринуться,наваливаться,0
топиться II,растапливаться II,0
драться биться сталкиваться,столкновение борьба,0
хищение,расхищать,0
хищение,расхититель,0
подогреть вино,налить вина,0
подчинённый зависимый,подчинённый,0
фруктовый сад,огород,0
сделать короче меньше по длине укоротить волосы укоротить на десять сантиметров укоротить рукава рубашки,уменьшить сократить объём укоротить статью укоротить рассказ,0
получать получить,доставаться достаться попадать попасть комул чему л,0
удалиться,уединиться удалиться,0
беременность,беременная,0
высыхание трещина высыхания,засыхание,0
отучать,отучаться отвыкать,0
бросить кинуть сбросить скинуть подбросить подкинуть,добавить подбросить,0
луговые угодья зелёные луга,левада огороженный участок пастбища куда выпускают лошадей для пастьбы моциона,0
звать позвать,попросить предложить явиться куда л вызвать врача вызвать мастера вызвать скорую помощь,0
коронный,венечный,0
прижимать к груди обнимать,грудь,0
планирование сделки,план торговли,0
жулик вор мелкий мошенник,жуликоватый жуликоватый продавец жуликоватый вид,0
Работая произвести в количестве,Работая приобрести получить в количестве заработать,0
комедия,шут,0
ненавистный презренный гнусный отвратительный,гнусность,0
позорище,гнусность,0
надеть шапку,повязать платок,0
восходящий повышающийся поднимающийся,идущий по восходящей линии от потомков к предкам,0
плетеный щит обтянутый кожей у персов и у фракийцев,плетеная перегородка плетень,0
посменное выполнение обязанностей сменная работа дежурство человек работающий посменно,пребывание без семьи на службе за пределами своей страны не имеющий семьи работник служащий за границей,0
украшаться,убранство,0
подкладка подклад,вставка вкладыш ложемент подложка,0
расправлять,распрямлять,0
талант способность к изобретательству,ловкость изобретательность,0
выравнивать,приближаться выравниваться,0
Седьмая буква армянского алфавита,Числовое значение-семь седьмой в веке глава,0
козлёнок,телёнок,0
зависимый, подчиненный,0
взять напрокат у кого,дать напрокат отдать напрокат,0
забывать,отбросить оставить стереть из памяти,0
купать,искупаться II,0
выкупить купить всё форфейтинг,покупка без гарантии,0
вовлекать,интересовать,0
внеочередной,чрезвычайный,0
соединение присоединение соединившийся присоединившийся,замыкание,0
лён,изделие из льняной ткани носить лён,0
избежание избавление спасение,избавление убежище,0
остановка сигнал стоп,знак разделяющий слова в телеграмме,0
трепаться,пустословие,0
всего только двадцать ему всего двадцать лет только двадцать дней,двадцать не шутка двадцать лет проработал,0
нивелировать уничтожить различия,сгладить сделать одинаковым устранить различия,0
очистительный,очищающий,0
пить водку,пьянеть,0
диапазон,зона,0
тревожиться,тревога,0
продавец ица картинок гравюр,художник рисующий или разрисовывающий картинки образа,0
не уловить не добраться до сути дела не понять существа вопроса,ничего не добиться,0
стоять,вставать встать вставать с места вставать с постели вставать со стула вставать рано,0
тот кто отстранен от чего л,тот кто выделен отмечен,0
складывать слагать сложить составлять составить,соединить соединить сочетать,0
 || Предназначенный для дозора; сторожевой,в дозо рный Тот кто находится в дозоре,0
сомнение,различные суждения,0
откладывать на время прерывать,уладить,0
часть,тонкость,0
образец модель,экземпляр,0
кряхтеть, хрипеть,0
Милостивые государи в торговой корреспонденции Милостивый государь в частном письме,денежный штраф,0
